Company,Merged with,Number of Claims Belonging to that Company Before Merge
NNB Generation Company (SZC) Limited,NNB Generation Company (Sizewell C) Limited,1
Korea Electric Power Corp.,Korea Electric Power,1
Spring Valley Acquisition Corp.,Spring Valley Acquisition Corp,1
GE/Hitachi,GE-Hitachi,1
Hyundai Engineering and Construction Co.,Hyundai Engineering & Construction,1
NUScale,NuScale,1
Technicatom,TechnicAtome,1
Tyazhmash,JSC Tyazhmash,1
Engineering Division of Rosatom,Rosatom Engineering Division,1
Steve Vick International,Steve Vick International (SVI),1
UK Magnox Ltd,Magnox Ltd,1
JSC Rusatom Service,Rusatom Service,1
Korea Hydro and Nuclear power,Korea Hydro & Nuclear Power,1
Kind Atom,Kind Atom Oy,1
Pacific Gas and Electric Company,Pacific Gas and Electric Company (PG&E),1
EthosEnergy MMH,EthosEnergy,1
Doosan-E,Doosan,1
Kepco-KPS,Kepco KPS,1
Korea hydro and Nuclear Power (KHNP),Korea Hydro & Nuclear Power,1
US NuScale,NuScale,1
BWXT Canada Ltd.,BWXT Canada Ltd,1
Nuclear Advanced Manufacturing Research Centre,Nuclear Advanced Manufacturing Research Centre (NAMRC),1
BWXT Medical,BWXT Medical Ltd.,1
Nuclear Fuel Services,Nuclear Fuel Services (NFS),1
Tokyo Electric Power Co,Tokyo Electric Power Company (Tepco),1
Techint Engineering & Construction,Kepco Engineering & Construction,1
ZIO-Podolsk,ZiO-Podolsk,1
Northwest Energy,Energy Northwest,1
Kazatomprom JSC,NAC Kazatomprom JSC,1
Liaoning Nuclear Power Company Ltd,Hainan Nuclear Power Company,1
General Atomics (GA),General Atomics,1
Korea Hydro & Nuclear Power Corporation,Korea Hydro & Nuclear Power,1
GE-Hitachi Nuclear Energy International LLC,GE-Hitachi Nuclear Energy International,1
European Bank for Reconstruction & Development (EBRD),European Bank for Reconstruction and Development,1
Lloyd’s Register,Lloyd Resister,1
Bharatiya Nabhikiya Vidyut Nigam Ltd (BHAVINI),BHARATIYA NAHBIKIYA VIDYUT NIGAM LIMITED,1
Hokuriku Electric,Hokuriku Electric Power,1
TENEX,Tenex,1
Nuclear Energy Agency (NEA),OECD-Nuclear Energy Agency,1
HATCH,Hatch,1
Cenovus Energy,Centrus Energy,1
Nuclear Power Ghana (NPG),Nuclear Power Ghana,1
Canadian Nuclear Association (CAN),Canadian Nuclear Association,1
Nuclear Energy Institute (NEI),Nuclear Energy Institute,1
Edvance,Edvance UK,1
Tokyo Electric Power (TEPCO),Tokyo Electric Power Company (Tepco),1
GE-Hitachi Nuclear Energy International ,GE-Hitachi Nuclear Energy International,1
Central Design & Technological Institute,Central Design & Technological Institute (JSC CPTI),1
Australian Nuclear Science & Technology Organisation,Australia’s Nuclear Science & Technology Organisation (ANSTO),1
Jordan Atomic Energy Commission (JAEC),Ghana Atomic Energy Commission,1
SOGIN,Sogin,1
RATEN ICN,RATEN-ICN,1
Rosatom's Fuel Company TVEL,Rosatom's fuel company TVEL,1
SRS. Servizi Ricerche e Sviluppo,SRS Servizi Ricerche e Sviluppo,1
France’s Atomic Energy Commission (CEA),Ghana Atomic Energy Commission,1
Gesellschaft für Nuklear-Service (GNS),GNS Gesellschaft für Nuklear-Service mbH,1
US Tennessee Authority Valley (TVA),Tennessee Authority Valley,1
China National Nuclear Power Co,China National Nuclear Power,1
Electricite De France (EDF),Electricité de France,1
Kansai Electric Power,Kansai Electric Power Co,1
Atomic Energy of Canada Ltd,Atomic Energy of Canada Limited,1
DOE Office of Nuclear Energy,Office of Nuclear Energy,1
National Atomic Energy Authority,Hungarian Atomic Energy Authority,1
Tokyo Electric Power Co. Holdings (Tepco),Tokyo Electric Power Holdings (Tepco),1
Iter Organisation,ITER Organisation,1
Thermal Engineering International (USA),Thermal Engineering International (USA) Inc.,1
Egypt Atomic Energy Authority,UK Atomic Energy Authority,1
Svensk Kärnbränslehantering,Svensk Kärnbränslehantering (SKB),1
Community Nuclear Power (CNP),Community Nuclear Power,1
MARVEL,Marvel,1
Sargeant & Lundy,Sargent & Lundy,1
BDC Capital,C5 Capital,1
JSC Atomstroyexport,Atomstroyexport,1
Mirion Technologies,Onet Technologies,1
Rosatom’s,Rosatom,1
Korea Hydro & Nuclear Power’s,Korea Hydro & Nuclear Power,1
China National Nuclear Corporation’s,China National Nuclear Corporation (CNNC),1
Polskie Elektrownie Jądrowy (PEJ),Polskie Elektrownie Jadrowe (PEJ),1
DTE Energy,Duke Energy,1
Research Centre Jülich,Joint Research Centre,1
Thermal Engineering International,Thermal Engineering International (USA) Inc.,1
Ontario Power Generation’s (OPG),Ontario Power Generation,1
US Bechtel,Bechtel,1
Jiangsu Nuclear Power Company,Hainan Nuclear Power Company,1
Argentinian Nuclear Regulatory Authority (ARN),Argentinian Nuclear Regulatory Authority,1
Nucleoelectrica Argentina SA,Nucleoelectrica Argentina,1
JSC RAOS,RAOS JSC,1
Kepco Nuclear Fuel (KNF),Kepco Nuclear Fuel,1
Korea Electric Power Company (KEPCO),Korea Electric Power Company (Kepco),1
Svensk Kärnbränsförhantering (SKB),Svensk Kärnbränslehantering (SKB),1
GE HItachi,GE-Hitachi,1
Itochu Corporation,IHI Corporation,1
China Nuclear Power Engineering,China Nuclear Power Engineering Group,1
Westinghouse EC,Westinghouse,1
Walco Industries Ltd.,Walco Industries Ltd,1
Ontario Power Generations (OPG),Ontario Power Generation,1
Nuclear Restoration Services (NRS),Magnox / Nuclear Restoration Services,1
Nuclear Power & Energy Agency (NuPEA),OECD-Nuclear Energy Agency,1
UK Nuclear Industry Association,Nuclear Industry Association,1
