company,SUPPORT,CONTRADICT,NEI
Naval Group,2.0,,2.0
Nawah,,,1.0
Necsa,,,1.0
Nest,,,1.0
Netcity,1.0,,
New Mexico Environment,,,1.0
NexGen Energy,,,2.0
Nikiet,1.0,,5.0
Nippon Export and Investment Insurance,,,2.0
Nissan,,,1.0
Nordion,,,1.0
Norsk Kjernekraft,3.0,1.0,12.0
Northrop Grumman,,,1.0
Nova Power & Gas,2.0,1.0,19.0
NovaWind,,,1.0
Novatome,,,1.0
Novatron Fusion,,,1.0
NuCycle,,,1.0
NuPEA,,,1.0
NuScale Power,51.0,34.0,246.0
Nuclear Alternative Project (NAP),,,6.0
Nuclear Decommissioning Authority,,,8.0
Nuclear Industry Association,,,6.0
Nuclear Regulation Authority,,,3.0
Nuclear Regulatory Commission (NRC),,1.0,2.0
Nuclear Restoration Services,,,2.0
Nuclear Waste Management Organisation,,,1.0
Nuclearelectrica,4.0,,19.0
Nucleareurope,,,4.0
Nuclenor,,,2.0
Nucleoeléctrica Argentina,2.0,,3.0
Nuueen,,,1.0
Nuward,1.0,,5.0
OC Robotics,,,2.0
OKBM Africantov,,1.0,6.0
OKG,1.0,,1.0
OMERS,1.0,,1.0
OMZ,,,1.0
OMZ Public Joint-Stock Company,,,1.0
ONDRAF/NIRAS,,1.0,
ONR,,,3.0
OPG,3.0,3.0,14.0
OSCE,,,1.0
OSI,,1.0,7.0
Oak Ridge National Laboratory (ORNL),,,11.0
Office for Nuclear Regulation,1.0,1.0,5.0
Oglethorpe Power,,2.0,7.0
Oklo,3.0,2.0,15.0
Omexom and Taylor Woodrow JV (OTW),,,2.0
Omniflex,,,1.0
Onomichi Dockyard,,,1.0
Orano,4.0,,38.0
Orlen,2.0,1.0,9.0
Outokumpu,,1.0,1.0
Oxford Sigma,,,2.0
PA Consulting,,,1.0
PAA,,,1.0
PALLAS Reactor Preparation Foundation (PALLAS),1.0,,1.0
PATEC,,,1.0
PDENH,,,1.0
PEJ,1.0,,3.0
PGE,1.0,,8.0
PK Valve,,,1.0
PLEF,,,1.0
PNPI,,,1.0
PSEG,,,1.0
PT Batan Teknologi,,,1.0
PT PAL Indonesia,,,2.0
PT PLN (Persero),,,4.0
PTT,,,2.0
Pacific Gas & Electric,,,1.0
Paks NPP,,1.0,1.0
Parkwalk Advisors,,,1.0
Pertamina,,,2.0
Pinsent Masons,,,1.0
Planetary Science Institute,,,1.0
Plural Platform,,,2.0
Polimex,,,1.0
Polskie Elektrownie Jadrowe,,,9.0
Pompes Rütschi SAS,,,1.0
Presight Capital,,,1.0
Princeton Satellite Systems,,,1.0
Princeton University,,,1.0
Prodigy,1.0,,5.0
Prolog LLC,,,2.0
Promcomplect-B,,,2.0
Prometey Construction,,,1.0
Proxima Fusion,,,3.0
Pulsar Fusion,,,1.0
PwC,,,1.0
QST,,,1.0
RAFA,,,3.0
RASU,,,1.0
RATEN,,,2.0
RED,,,4.0
RINA,,1.0,
RMC,,,1.0
RWE,,,1.0
Radiant,,,3.0
Ramboll,,,1.0
Recumo,,,1.0
Regardie,,,1.0
Renaissance Fusion,,,2.0
Research Institute for Atomic Reactors,1.0,1.0,17.0
Ringhals,,,1.0
Ritm,2.0,,3.0
RoPower,1.0,2.0,7.0
Rock Creek Innovations,,,2.0
Rockwell,,,1.0
Rolls-Royce,23.0,23.0,69.0
Rosatom,51.0,19.0,249.0
Roselectronics,,,1.0
Rosgvardiya,,,3.0
Rostechnadzor,1.0,2.0,6.0
Rostekh State Corporation,,,1.0
Rusatom Overseas,1.0,,2.0
Rusatom Service,1.0,,4.0
Russia,,1.0,8.0
SACE,,1.0,1.0
SCC,1.0,,3.0
SCK-CEN,,,10.0
SCS,,,1.0
SCX Special Projects,,,3.0
SECIN,,,1.0
SGE,,,6.0
SGSC,,,1.0
SIMSA,,,2.0
SK Inc,1.0,1.0,2.0
SKB,,,5.0
SMU 1 LLC,,,1.0
SNC-Lavalin,4.0,,16.0
SNN,1.0,2.0,4.0
SNRIU,,,1.0
SOC,,,1.0
SPIC,1.0,,1.0
SRNS,,,1.0
SSM,,,1.0
SSN,,,1.0
STP Nuclear Operating Company,,1.0,22.0
SUAS Group,,,2.0
Saab,,,1.0
Saai,,,1.0
Saber Astronautics,,,1.0
Samsung C&T Corporation,4.0,3.0,43.0
Samsung Heavy Industries,,,4.0
Sandia,,,1.0
Sarens,,,1.0
Sargeant & Lundy,1.0,,3.0
SaskPower,3.0,2.0,7.0
Savannah River National Laboratory,,,1.0
Schneider Electric,,2.0,9.0
Scott Brownrigg,,,1.0
Seaborg,2.0,,10.0
Seligdar,1.0,,
Sellafield Ltd,,2.0,17.0
Seth Twum-Akwaboah,,,1.0
Shanghai Boiler Works Limited,,,1.0
Shanghai Nuclear Labor Institute,,,1.0
Sheffield Forgemasters,1.0,1.0,3.0
Siberian Chemical Combine,,,5.0
Siemens,1.0,1.0,14.0
Silex,2.0,,4.0
Siteflow,,,3.0
Skanska,,,1.0
Skepast & Puhkim,,,1.0
Slovenské Elektrárne,,,12.0
Smart Green Shipping (SGS),,,1.0
Sogin,,,1.0
Sokolovska Uhelna,,,2.0
Solexperts,,,1.0
Southern,,,1.0
SpaceX,,,2.0
Springfields Fuels Limited,,,4.0
Sprott Uranium Trust,,,2.0
Standard Power,,,2.0
State Council of China,2.0,3.0,34.0
Steady Energy,1.0,,10.0
Steel Atlas,,,2.0
Stellarex,,,1.0
Stellaria,,,4.0
Steve Vick International,,,2.0
Stimson Center,,,1.0
Studsvik,1.0,,6.0
Sunderland City Council,,,1.0
Supracon,,,1.0
Svensk Kärnbränslehantering AB (SKB),1.0,,3.0
Svenska Kraftnat,,,1.0
Sydkraft,,,1.0
Synthos,,1.0,4.0
TANICS,,,1.0
TEPCO,4.0,2.0,16.0
TINT,,,1.0
TM INOX,,,1.0
TRANSCO,,,1.0
TRIGA International,,,2.0
TRISO-X,2.0,,2.0
TRIUMF,,,4.0
TSM Enerji,1.0,,3.0
TSOs,,,1.0
TU Delft,1.0,,1.0
TVA,,,3.0
TVEL,6.0,2.0,47.0
TVO,4.0,1.0,8.0
TWI,2.0,,1.0
Talen,,,1.0
TechnicAtome,2.0,,3.0
Technip Energies,,,1.0
Tecnatom USA,,,1.0
Tecniark,,,1.0
Tecnimont,1.0,,1.0
Teledyne Brown Engineering,,1.0,4.0
Teletrix,,,1.0
Tenex,,,2.0
Tennessee Valley Authority,2.0,,5.0
Teollisuuden Voima Oyj (TVO),3.0,2.0,11.0
Teplárny Brno,,,1.0
Terex-Demag,1.0,,
TerraPower,3.0,3.0,47.0
TerraPraxis,,,3.0
Terrestrial Energy,5.0,2.0,9.0
Thales,,,1.0
The VG Khlopin Radium Institute,,,2.0
Thomas Thor,,,2.0
Thorcon,,,7.0
Thorizon,1.0,,4.0
Tia Logistics,,,1.0
Titan-2,1.0,,4.0
Tokamak Energy,4.0,,6.0
Tokyo,,,1.0
Tomsk Polytechnic University,,,3.0
Topsoe,1.0,,
Torch Technologies,,,1.0
Tornado,,,1.0
Toshiba,,1.0,1.0
Tosto Group,1.0,,
Tractebel,6.0,,9.0
TransAlta Corporation,,,3.0
Transmutex SA,,,2.0
Transrad,,,2.0
Trest RosSEM,,1.0,4.0
Tsinghua University,,,5.0
Turner & Townsend,,,1.0
Tyazhmash,1.0,,1.0
UCOR,,,2.0
UDC UGR,,,1.0
UJV,,,1.0
UK,3.0,,42.0
UK’s Nuclear Waste Services (NWS),,,7.0
URSJN,,,1.0
US PacifiCorp,1.0,2.0,6.0
US Steel Košice,2.0,2.0,9.0
USEC,,,1.0
USNC,3.0,1.0,16.0
USTDA,,,5.0
UVC Partners,,,4.0
UZWIL,,,1.0
Uamps,,,2.0
Ulba FA,1.0,,
Ulba-TVS,,1.0,
Ultra Safe Nuclear Corporation,6.0,2.0,23.0
Unimot,,,1.0
Union Carbide,,,4.0
Uniper,,1.0,2.0
United Engineers & Constructors,1.0,,4.0
United Nuclear Corporation (UNC),,,1.0
University of Cambridge,,,1.0
University of Leicester,1.0,,1.0
University of Sheffield,,,2.0
Uranium Energy Corp,,,1.0
Urenco,3.0,2.0,28.0
UxC,,,1.0
Uzatom,,,1.0
V/O Izotop JSC,4.0,,16.0
VNIINM,,,4.0
VTT,,,2.0
VUJE,,,3.0
Vaalputs,,,1.0
Vattenfall,5.0,2.0,9.0
Veolia,,,4.0
Vertical Future,,,1.0
Verve Ventures,,,1.0
Vessco,,,1.0
Virial,,,1.0
Vistra,,,5.0
Vital Energi,,,1.0
Vogtle,,,1.0
Vulcain Engineering,,,1.0
Vulcan Burners,,,2.0
WANO,,,2.0
WEC Group,,1.0,1.0
WESEE,1.0,,
WSDE,,,1.0
Walter Tosto,,,1.0
Waste Control Specialists,,,4.0
Welsh Government,,,1.0
Western Gateway,,,2.0
Westfälische Wilhelms-Universität Münster,,,1.0
Westinghouse,31.0,23.0,181.0
Wilbe Group,,,2.0
Wood Mackenzie,,,2.0
World Nuclear Association (WNA),,,2.0
Worldgrid,,,1.0
Xcel,,,2.0
Y-12 National Security Complex,,,1.0
YIT Suomi Oy,,,1.0
YRYS-Expert-Kurylys,,,1.0
Yellow Cake,,,2.0
Yes VC,,,1.0
ZE PAK,2.0,1.0,5.0
ZNPP EO JSC,,2.0,2.0
ZRE,,,1.0
Zarmen,,,1.0
Zhongyuan,,,1.0
ZiO-Podolsk,,,2.0
ZionSolutions,,,1.0
Zodiac Maritime,,,1.0
Zwilag,,,1.0
newcleo,8.0,1.0,14.0
partner/supplier,,,1.0
plant supplier,,,1.0
Électricité de France (EDF),,,7.0
Østfold Energi,2.0,,2.0
Škoda,1.0,,5.0
